antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
noise_keyword_present=0,is_uncertain=0,0.8925,1.0,0.8925,1.0,1.0,1.0,0.0,inf,0.0,0.8925,0.0,0.94625
is_uncertain=0,noise_keyword_present=0,1.0,0.8925,0.8925,0.8925,1.0,1.0,0.0,1.0,0.0,0.8925,0.0,0.94625
noise_keyword_present=0,noise_keyword_hit=none,0.8925,0.8925,0.8925,1.0,1.1204481792717087,1.0,0.09594375,inf,0.9999999999999996,1.0,1.0,1.0
noise_keyword_hit=none,noise_keyword_present=0,0.8925,0.8925,0.8925,1.0,1.1204481792717087,1.0,0.09594375,inf,0.9999999999999996,1.0,1.0,1.0
noise_keyword_hit=none,is_uncertain=0,0.8925,1.0,0.8925,1.0,1.0,1.0,0.0,inf,0.0,0.8925,0.0,0.94625
is_uncertain=0,noise_keyword_hit=none,1.0,0.8925,0.8925,0.8925,1.0,1.0,0.0,1.0,0.0,0.8925,0.0,0.94625
noise_keyword_hit=none & noise_keyword_present=0,is_uncertain=0,0.8925,1.0,0.8925,1.0,1.0,1.0,0.0,inf,0.0,0.8925,0.0,0.94625
is_uncertain=0 & noise_keyword_present=0,noise_keyword_hit=none,0.8925,0.8925,0.8925,1.0,1.1204481792717087,1.0,0.09594375,inf,0.9999999999999996,1.0,1.0,1.0
is_uncertain=0 & noise_keyword_hit=none,noise_keyword_present=0,0.8925,0.8925,0.8925,1.0,1.1204481792717087,1.0,0.09594375,inf,0.9999999999999996,1.0,1.0,1.0
noise_keyword_present=0,is_uncertain=0 & noise_keyword_hit=none,0.8925,0.8925,0.8925,1.0,1.1204481792717087,1.0,0.09594375,inf,0.9999999999999996,1.0,1.0,1.0
noise_keyword_hit=none,is_uncertain=0 & noise_keyword_present=0,0.8925,0.8925,0.8925,1.0,1.1204481792717087,1.0,0.09594375,inf,0.9999999999999996,1.0,1.0,1.0
is_uncertain=0,noise_keyword_hit=none & noise_keyword_present=0,1.0,0.8925,0.8925,0.8925,1.0,1.0,0.0,1.0,0.0,0.8925,0.0,0.94625
is_uncertain=0,uses_coordinate=0,1.0,0.8125,0.8125,0.8125,1.0,1.0,0.0,1.0,0.0,0.8125,0.0,0.90625
uses_coordinate=0,is_uncertain=0,0.8125,1.0,0.8125,1.0,1.0,1.0,0.0,inf,0.0,0.8125,0.0,0.90625
noise_keyword_hit=none,uses_coordinate=0,0.8925,0.8125,0.7225,0.8095238095238096,0.9963369963369965,1.0,-0.0026562499999999156,0.9843750000000007,-0.03306878306878203,0.7353689567430025,-0.015873015873015223,0.8493772893772895
uses_coordinate=0,noise_keyword_hit=none,0.8125,0.8925,0.7225,0.8892307692307693,0.9963369963369965,1.0,-0.0026562499999999156,0.9704861111111118,-0.019230769230768628,0.7353689567430025,-0.03041144901609944,0.8493772893772895
noise_keyword_present=0,uses_coordinate=0,0.8925,0.8125,0.7225,0.8095238095238096,0.9963369963369965,1.0,-0.0026562499999999156,0.9843750000000007,-0.03306878306878203,0.7353689567430025,-0.015873015873015223,0.8493772893772895
uses_coordinate=0,noise_keyword_present=0,0.8125,0.8925,0.7225,0.8892307692307693,0.9963369963369965,1.0,-0.0026562499999999156,0.9704861111111118,-0.019230769230768628,0.7353689567430025,-0.03041144901609944,0.8493772893772895
is_uncertain=0 & noise_keyword_hit=none,uses_coordinate=0,0.8925,0.8125,0.7225,0.8095238095238096,0.9963369963369965,1.0,-0.0026562499999999156,0.9843750000000007,-0.03306878306878203,0.7353689567430025,-0.015873015873015223,0.8493772893772895
noise_keyword_hit=none & uses_coordinate=0,is_uncertain=0,0.7225,1.0,0.7225,1.0,1.0,1.0,0.0,inf,0.0,0.7225,0.0,0.8612500000000001
is_uncertain=0 & uses_coordinate=0,noise_keyword_hit=none,0.8125,0.8925,0.7225,0.8892307692307693,0.9963369963369965,1.0,-0.0026562499999999156,0.9704861111111118,-0.019230769230768628,0.7353689567430025,-0.03041144901609944,0.8493772893772895
noise_keyword_hit=none,is_uncertain=0 & uses_coordinate=0,0.8925,0.8125,0.7225,0.8095238095238096,0.9963369963369965,1.0,-0.0026562499999999156,0.9843750000000007,-0.03306878306878203,0.7353689567430025,-0.015873015873015223,0.8493772893772895
is_uncertain=0,noise_keyword_hit=none & uses_coordinate=0,1.0,0.7225,0.7225,0.7225,1.0,1.0,0.0,1.0,0.0,0.7225,0.0,0.8612500000000001
uses_coordinate=0,is_uncertain=0 & noise_keyword_hit=none,0.8125,0.8925,0.7225,0.8892307692307693,0.9963369963369965,1.0,-0.0026562499999999156,0.9704861111111118,-0.019230769230768628,0.7353689567430025,-0.03041144901609944,0.8493772893772895
is_uncertain=0 & noise_keyword_present=0,uses_coordinate=0,0.8925,0.8125,0.7225,0.8095238095238096,0.9963369963369965,1.0,-0.0026562499999999156,0.9843750000000007,-0.03306878306878203,0.7353689567430025,-0.015873015873015223,0.8493772893772895
