support,itemsets
1.0,is_uncertain=0
0.8925,noise_keyword_hit=none & noise_keyword_present=0
0.8925,noise_keyword_present=0
0.8925,noise_keyword_hit=none
0.8925,is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.8925,is_uncertain=0 & noise_keyword_hit=none
0.8925,is_uncertain=0 & noise_keyword_present=0
0.8125,uses_coordinate=0
0.8125,is_uncertain=0 & uses_coordinate=0
0.7225,is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.7225,is_uncertain=0 & noise_keyword_present=0 & uses_coordinate=0
0.7225,noise_keyword_hit=none & uses_coordinate=0
0.7225,noise_keyword_present=0 & uses_coordinate=0
0.7225,is_uncertain=0 & noise_keyword_hit=none & uses_coordinate=0
0.7225,noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.5933333333333334,is_correct=1 & noise_keyword_hit=none
0.5933333333333334,is_correct=1 & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.5933333333333334,is_correct=1
0.5933333333333334,error_category=none & noise_keyword_present=0
0.5933333333333334,error_category=none & is_uncertain=0
0.5933333333333334,error_category=none & is_correct=1 & noise_keyword_hit=none & noise_keyword_present=0
0.5933333333333334,error_category=none & is_uncertain=0 & noise_keyword_present=0
0.5933333333333334,error_category=none & is_correct=1 & is_uncertain=0 & noise_keyword_hit=none
0.5933333333333334,is_correct=1 & noise_keyword_present=0
0.5933333333333334,is_correct=1 & is_uncertain=0 & noise_keyword_present=0
0.5933333333333334,error_category=none & is_correct=1 & noise_keyword_hit=none
0.5933333333333334,error_category=none & noise_keyword_hit=none & noise_keyword_present=0
0.5933333333333334,error_category=none
0.5933333333333334,error_category=none & is_correct=1 & noise_keyword_present=0
0.5933333333333334,error_category=none & is_correct=1 & is_uncertain=0
0.5933333333333334,is_correct=1 & is_uncertain=0
0.5933333333333334,error_category=none & is_correct=1 & is_uncertain=0 & noise_keyword_present=0
0.5933333333333334,error_category=none & noise_keyword_hit=none
0.5933333333333334,is_correct=1 & is_uncertain=0 & noise_keyword_hit=none
0.5933333333333334,is_correct=1 & noise_keyword_hit=none & noise_keyword_present=0
0.5933333333333334,error_category=none & is_correct=1
0.5933333333333334,error_category=none & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.5933333333333334,error_category=none & is_uncertain=0 & noise_keyword_hit=none
0.5683333333333334,has_formula=0 & is_uncertain=0
0.5683333333333334,has_formula=0
0.55,ai_judgment=can_pass
0.55,ai_judgment=can_pass & is_uncertain=0
0.5391666666666667,has_formula=0 & is_uncertain=0 & uses_coordinate=0
0.5391666666666667,has_formula=0 & uses_coordinate=0
0.52,is_correct=1 & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.52,ai_judgment=can_pass & is_uncertain=0 & noise_keyword_hit=none
0.52,ai_judgment=can_pass & is_uncertain=0 & noise_keyword_present=0
0.52,ai_judgment=can_pass & noise_keyword_hit=none & noise_keyword_present=0
0.52,is_correct=1 & uses_coordinate=0
0.52,is_correct=1 & is_uncertain=0 & noise_keyword_hit=none & uses_coordinate=0
0.52,is_correct=1 & is_uncertain=0 & noise_keyword_present=0 & uses_coordinate=0
0.52,is_correct=1 & noise_keyword_hit=none & uses_coordinate=0
0.52,error_category=none & is_uncertain=0 & uses_coordinate=0
0.52,error_category=none & noise_keyword_present=0 & uses_coordinate=0
0.52,error_category=none & is_correct=1 & noise_keyword_present=0 & uses_coordinate=0
0.52,error_category=none & is_correct=1 & noise_keyword_hit=none & uses_coordinate=0
0.52,ai_judgment=can_pass & noise_keyword_present=0
0.52,ai_judgment=can_pass & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.52,is_correct=1 & is_uncertain=0 & uses_coordinate=0
0.52,is_correct=1 & noise_keyword_present=0 & uses_coordinate=0
0.52,error_category=none & uses_coordinate=0
0.52,error_category=none & is_correct=1 & uses_coordinate=0
0.52,error_category=none & is_correct=1 & is_uncertain=0 & uses_coordinate=0
0.52,error_category=none & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.52,error_category=none & is_uncertain=0 & noise_keyword_present=0 & uses_coordinate=0
0.52,error_category=none & is_uncertain=0 & noise_keyword_hit=none & uses_coordinate=0
0.52,error_category=none & noise_keyword_hit=none & uses_coordinate=0
0.52,ai_judgment=can_pass & noise_keyword_hit=none
0.5066666666666667,has_formula=0 & noise_keyword_hit=none & noise_keyword_present=0
0.5066666666666667,has_formula=0 & is_uncertain=0 & noise_keyword_present=0
0.5066666666666667,has_formula=0 & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.5066666666666667,has_formula=0 & is_uncertain=0 & noise_keyword_hit=none
0.5066666666666667,has_formula=0 & noise_keyword_present=0
0.5066666666666667,has_formula=0 & noise_keyword_hit=none
0.5,criticality=wide
0.5,criticality=wide & is_uncertain=0
0.4775,has_formula=0 & is_uncertain=0 & noise_keyword_hit=none & uses_coordinate=0
0.4775,has_formula=0 & is_uncertain=0 & noise_keyword_present=0 & uses_coordinate=0
0.4775,has_formula=0 & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.4775,has_formula=0 & noise_keyword_present=0 & uses_coordinate=0
0.4775,has_formula=0 & noise_keyword_hit=none & uses_coordinate=0
0.4666666666666667,ai_judgment=can_pass & is_uncertain=0 & uses_coordinate=0
0.4666666666666667,ai_judgment=can_pass & uses_coordinate=0
0.45916666666666667,criticality=wide & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.45916666666666667,criticality=wide & noise_keyword_hit=none
0.45916666666666667,criticality=wide & is_uncertain=0 & noise_keyword_present=0
0.45916666666666667,criticality=wide & noise_keyword_hit=none & noise_keyword_present=0
0.45916666666666667,criticality=wide & is_uncertain=0 & noise_keyword_hit=none
0.45916666666666667,criticality=wide & noise_keyword_present=0
0.45,ai_judgment=cannot_pass & is_uncertain=0
0.45,ai_judgment=cannot_pass
0.44666666666666666,ai_judgment=can_pass & is_correct=1 & noise_keyword_hit=none & noise_keyword_present=0
0.44666666666666666,ai_judgment=can_pass & error_category=none & is_correct=1 & is_uncertain=0
0.44666666666666666,ai_judgment=can_pass & error_category=none & is_uncertain=0
0.44666666666666666,ai_judgment=can_pass & is_correct=1 & is_uncertain=0
0.44666666666666666,ai_judgment=can_pass & error_category=none & noise_keyword_hit=none
0.44666666666666666,ai_judgment=can_pass & is_correct=1
0.44666666666666666,ai_judgment=can_pass & error_category=none
0.44666666666666666,ai_judgment=can_pass & is_correct=1 & is_uncertain=0 & noise_keyword_present=0
0.44666666666666666,ai_judgment=can_pass & error_category=none & is_uncertain=0 & noise_keyword_hit=none
0.44666666666666666,ai_judgment=can_pass & error_category=none & is_uncertain=0 & noise_keyword_present=0
0.44666666666666666,ai_judgment=can_pass & error_category=none & is_correct=1 & noise_keyword_present=0
0.44666666666666666,ai_judgment=can_pass & is_correct=1 & is_uncertain=0 & noise_keyword_hit=none
0.44666666666666666,ai_judgment=can_pass & error_category=none & is_correct=1
0.44666666666666666,ai_judgment=can_pass & is_correct=1 & noise_keyword_hit=none
0.44666666666666666,ai_judgment=can_pass & error_category=none & noise_keyword_present=0
0.44666666666666666,ai_judgment=can_pass & error_category=none & noise_keyword_hit=none & noise_keyword_present=0
0.44666666666666666,ai_judgment=can_pass & is_correct=1 & noise_keyword_present=0
0.44666666666666666,ai_judgment=can_pass & error_category=none & is_correct=1 & noise_keyword_hit=none
0.44083333333333335,ai_judgment=can_pass & is_uncertain=0 & noise_keyword_hit=none & uses_coordinate=0
0.44083333333333335,ai_judgment=can_pass & is_uncertain=0 & noise_keyword_present=0 & uses_coordinate=0
0.44083333333333335,ai_judgment=can_pass & noise_keyword_hit=none & uses_coordinate=0
0.44083333333333335,ai_judgment=can_pass & noise_keyword_present=0 & uses_coordinate=0
0.44083333333333335,ai_judgment=can_pass & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.43166666666666664,has_formula=1
0.43166666666666664,has_formula=1 & is_uncertain=0
0.41,criticality=wide & is_uncertain=0 & uses_coordinate=0
0.41,criticality=wide & uses_coordinate=0
0.4066666666666667,is_correct=0 & is_uncertain=0
0.4066666666666667,is_correct=0
0.39166666666666666,ai_judgment=can_pass & is_correct=1 & uses_coordinate=0
0.39166666666666666,ai_judgment=can_pass & error_category=none & noise_keyword_present=0 & uses_coordinate=0
0.39166666666666666,ai_judgment=can_pass & error_category=none & is_correct=1 & uses_coordinate=0
0.39166666666666666,ai_judgment=can_pass & is_correct=1 & noise_keyword_hit=none & uses_coordinate=0
0.39166666666666666,ai_judgment=can_pass & is_correct=1 & is_uncertain=0 & uses_coordinate=0
0.39166666666666666,ai_judgment=can_pass & is_correct=1 & noise_keyword_present=0 & uses_coordinate=0
0.39166666666666666,ai_judgment=can_pass & error_category=none & noise_keyword_hit=none & uses_coordinate=0
0.39166666666666666,ai_judgment=can_pass & error_category=none & uses_coordinate=0
0.39166666666666666,ai_judgment=can_pass & error_category=none & is_uncertain=0 & uses_coordinate=0
0.3858333333333333,has_formula=1 & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.3858333333333333,has_formula=1 & is_uncertain=0 & noise_keyword_present=0
0.3858333333333333,has_formula=1 & noise_keyword_hit=none & noise_keyword_present=0
0.3858333333333333,has_formula=1 & is_uncertain=0 & noise_keyword_hit=none
0.3858333333333333,has_formula=1 & noise_keyword_present=0
0.3858333333333333,has_formula=1 & noise_keyword_hit=none
0.37666666666666665,criticality=wide & noise_keyword_hit=none & uses_coordinate=0
0.37666666666666665,criticality=wide & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.37666666666666665,criticality=wide & is_uncertain=0 & noise_keyword_hit=none & uses_coordinate=0
0.37666666666666665,criticality=wide & is_uncertain=0 & noise_keyword_present=0 & uses_coordinate=0
0.37666666666666665,criticality=wide & noise_keyword_present=0 & uses_coordinate=0
0.3725,ai_judgment=cannot_pass & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.3725,ai_judgment=cannot_pass & noise_keyword_hit=none
0.3725,ai_judgment=cannot_pass & noise_keyword_present=0
0.3725,ai_judgment=cannot_pass & is_uncertain=0 & noise_keyword_hit=none
0.3725,ai_judgment=cannot_pass & noise_keyword_hit=none & noise_keyword_present=0
0.3725,ai_judgment=cannot_pass & is_uncertain=0 & noise_keyword_present=0
0.35,criticality=borderline
0.35,criticality=borderline & is_uncertain=0
0.3458333333333333,ai_judgment=cannot_pass & uses_coordinate=0
0.3458333333333333,ai_judgment=cannot_pass & is_uncertain=0 & uses_coordinate=0
0.3333333333333333,has_formula=0 & is_uncertain=0 & level=L1 & uses_coordinate=0
0.3333333333333333,is_uncertain=0 & level=L1 & uses_coordinate=0
0.3333333333333333,has_formula=0 & is_uncertain=0 & level=L1
0.3333333333333333,level=L3
0.3333333333333333,level=L2
0.3333333333333333,is_uncertain=0 & level=L2
0.3333333333333333,level=L2 & uses_coordinate=0
0.3333333333333333,level=L1
0.3333333333333333,level=L1 & uses_coordinate=0
0.3333333333333333,has_formula=0 & level=L1
0.3333333333333333,is_uncertain=0 & level=L1
0.3333333333333333,has_formula=0 & level=L1 & uses_coordinate=0
0.3333333333333333,is_uncertain=0 & level=L2 & uses_coordinate=0
0.3333333333333333,is_uncertain=0 & level=L3
0.3325,ai_judgment=can_pass & criticality=wide & is_uncertain=0 & noise_keyword_present=0
0.3325,ai_judgment=can_pass & criticality=wide & noise_keyword_present=0
0.3325,criticality=wide & error_category=none
0.3325,ai_judgment=can_pass & criticality=wide & noise_keyword_hit=none & noise_keyword_present=0
0.3325,criticality=wide & is_correct=1
0.3325,criticality=wide & error_category=none & noise_keyword_hit=none & noise_keyword_present=0
0.3325,criticality=wide & error_category=none & is_uncertain=0 & noise_keyword_present=0
0.3325,criticality=wide & error_category=none & is_correct=1
0.3325,ai_judgment=can_pass & criticality=wide
0.3325,ai_judgment=can_pass & criticality=wide & is_uncertain=0
0.3325,ai_judgment=can_pass & criticality=wide & noise_keyword_hit=none
0.3325,criticality=wide & error_category=none & is_correct=1 & noise_keyword_hit=none
0.3325,criticality=wide & error_category=none & is_correct=1 & noise_keyword_present=0
0.3325,ai_judgment=can_pass & criticality=wide & error_category=none & is_correct=1
0.3325,criticality=wide & is_correct=1 & noise_keyword_hit=none
0.3325,criticality=wide & is_correct=1 & is_uncertain=0 & noise_keyword_hit=none
0.3325,ai_judgment=can_pass & criticality=wide & is_correct=1 & is_uncertain=0
0.3325,criticality=wide & error_category=none & is_correct=1 & is_uncertain=0
0.3325,ai_judgment=can_pass & criticality=wide & is_correct=1 & noise_keyword_present=0
0.3325,ai_judgment=can_pass & criticality=wide & is_correct=1 & noise_keyword_hit=none
0.3325,ai_judgment=can_pass & criticality=wide & is_uncertain=0 & noise_keyword_hit=none
0.3325,criticality=wide & is_correct=1 & is_uncertain=0 & noise_keyword_present=0
0.3325,criticality=wide & is_correct=1 & noise_keyword_hit=none & noise_keyword_present=0
