antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
noise_keyword_present=1,error_category=noise_distraction,0.1075,0.14416666666666667,0.1075,1.0,6.936416184971098,1.0,0.09200208333333333,inf,0.9589169000933707,0.7456647398843931,1.0,0.8728323699421965
is_correct=0 & noise_keyword_present=1,error_category=noise_distraction,0.1075,0.14416666666666667,0.1075,1.0,6.936416184971098,1.0,0.09200208333333333,inf,0.9589169000933707,0.7456647398843931,1.0,0.8728323699421965
is_uncertain=0 & noise_keyword_present=1,error_category=noise_distraction,0.1075,0.14416666666666667,0.1075,1.0,6.936416184971098,1.0,0.09200208333333333,inf,0.9589169000933707,0.7456647398843931,1.0,0.8728323699421965
is_correct=0 & is_uncertain=0 & noise_keyword_present=1,error_category=noise_distraction,0.1075,0.14416666666666667,0.1075,1.0,6.936416184971098,1.0,0.09200208333333333,inf,0.9589169000933707,0.7456647398843931,1.0,0.8728323699421965
ai_judgment=cannot_pass & criticality=wide & noise_keyword_present=0,error_category=concept_confusion,0.12666666666666668,0.245,0.10583333333333333,0.8355263157894737,3.41031149301826,1.0,0.0748,4.5904,0.8092805193243975,0.39811912225705326,0.7821540606483095,0.63374955245256
ai_judgment=cannot_pass & criticality=wide & noise_keyword_hit=none,error_category=concept_confusion,0.12666666666666668,0.245,0.10583333333333333,0.8355263157894737,3.41031149301826,1.0,0.0748,4.5904,0.8092805193243975,0.39811912225705326,0.7821540606483095,0.63374955245256
criticality=wide & is_correct=0 & noise_keyword_present=0,error_category=concept_confusion,0.12666666666666668,0.245,0.10583333333333333,0.8355263157894737,3.41031149301826,1.0,0.0748,4.5904,0.8092805193243975,0.39811912225705326,0.7821540606483095,0.63374955245256
criticality=wide & is_correct=0 & noise_keyword_hit=none,error_category=concept_confusion,0.12666666666666668,0.245,0.10583333333333333,0.8355263157894737,3.41031149301826,1.0,0.0748,4.5904,0.8092805193243975,0.39811912225705326,0.7821540606483095,0.63374955245256
has_formula=0 & is_correct=0 & noise_keyword_hit=none,error_category=concept_confusion,0.17666666666666667,0.245,0.14583333333333334,0.8254716981132076,3.369272237196766,1.0,0.10255,4.325945945945948,0.854089068825911,0.528700906344411,0.7688366862426591,0.7103548966756514
has_formula=0 & is_correct=0 & noise_keyword_present=0,error_category=concept_confusion,0.17666666666666667,0.245,0.14583333333333334,0.8254716981132076,3.369272237196766,1.0,0.10255,4.325945945945948,0.854089068825911,0.528700906344411,0.7688366862426591,0.7103548966756514
