model,level,accuracy,formula_rate,coordinate_rate,avg_steps,samples
Kimi-K2-Thinking,L1,0.8548387096774194,1.0,0.016129032258064516,4.556451612903226,124
Kimi-K2-Thinking,L2,0.9,1.0,0.0,4.2,10
Kimi-K2-Thinking,L3,0.9444444444444444,1.0,1.0,4.888888888888889,18
claude-opus-4-6,L1,0.722567287784679,1.0,0.07039337474120083,4.608695652173913,483
claude-opus-4-6,L2,0.5142857142857142,1.0,0.1357142857142857,9.114285714285714,420
claude-opus-4-6,L3,0.528,1.0,1.0,25.858666666666668,375
claude-sonnet-4-6-thinking,L1,0.47368421052631576,0.9696356275303644,0.02631578947368421,10.856275303643725,494
claude-sonnet-4-6-thinking,L2,0.34375,0.47836538461538464,0.040865384615384616,9.625,416
claude-sonnet-4-6-thinking,L3,0.04043126684636118,0.0431266846361186,0.0431266846361186,1.059299191374663,371
deepseek-v4-pro,L1,0.5307262569832403,0.12290502793296089,0.0,4.631284916201118,179
deepseek-v4-pro,L2,0.6666666666666666,0.16666666666666666,0.08333333333333333,3.4166666666666665,12
deepseek-v4-pro,L3,0.75,0.34375,0.625,4.1875,32
gemini-3-flash-preview,L1,0.3192307692307692,0.7442307692307693,0.22692307692307692,5.171153846153846,520
gemini-3-flash-preview,L2,0.19518072289156627,0.38795180722891565,0.15421686746987953,4.050602409638554,415
gemini-3-flash-preview,L3,0.1670886075949367,0.6658227848101266,0.43291139240506327,2.0835443037974684,395
gpt-4o,L1,0.08236994219653179,0.9378612716763006,0.0,4.221098265895954,692
gpt-4o,L2,0.45244956772334294,1.0,0.001440922190201729,9.079250720461095,694
gpt-4o,L3,0.5918032786885246,1.0,1.0,6.598360655737705,610
gpt-4o-mini,L1,0.6793650793650794,0.20952380952380953,0.0,5.573015873015873,630
gpt-4o-mini,L2,0.4873015873015873,1.0,0.0,4.857142857142857,630
gpt-4o-mini,L3,0.4888888888888889,0.9981481481481481,1.0,3.911111111111111,540
gpt-5.5,L1,0.6745098039215687,0.8666666666666667,0.00196078431372549,5.26078431372549,510
gpt-5.5,L2,0.4200477326968974,0.6062052505966588,0.031026252983293555,2.756563245823389,419
gpt-5.5,L3,0.39487179487179486,0.6641025641025641,0.6641025641025641,3.8897435897435897,390
grok-4,L1,0.6591375770020534,0.3942505133470226,0.0,3.8439425051334704,487
grok-4,L2,0.46035805626598464,0.7877237851662404,0.0,4.3861892583120206,391
grok-4,L3,0.5701219512195121,0.823170731707317,0.15853658536585366,4.067073170731708,328
