support,itemsets
0.7749645725082664,uses_coordinate=0
0.750968351440718,has_formula=1
0.7123287671232876,noise_keyword_hit=none
0.7123287671232876,noise_keyword_present=0
0.7123287671232876,noise_keyword_hit=none & noise_keyword_present=0
0.6698157770429853,is_uncertain=0
0.5895134624468588,has_formula=1 & is_uncertain=0
0.556353330184223,ai_judgment=cannot_pass & is_uncertain=0
0.556353330184223,ai_judgment=cannot_pass
0.5446386395843175,is_correct=0
0.5344355219650448,criticality=borderline
0.5326405290505433,has_formula=1 & uses_coordinate=0
0.5215871516296646,has_formula=1 & noise_keyword_hit=none & noise_keyword_present=0
0.5215871516296646,has_formula=1 & noise_keyword_hit=none
0.5215871516296646,has_formula=1 & noise_keyword_present=0
0.5190363722248464,noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.5190363722248464,noise_keyword_hit=none & uses_coordinate=0
0.5190363722248464,noise_keyword_present=0 & uses_coordinate=0
0.5005196032120925,ai_judgment=cannot_pass & has_formula=1 & is_uncertain=0
0.5005196032120925,ai_judgment=cannot_pass & has_formula=1
0.4705715635333018,is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.4705715635333018,is_uncertain=0 & noise_keyword_hit=none
0.4705715635333018,is_uncertain=0 & noise_keyword_present=0
0.4600850259801606,is_uncertain=0 & uses_coordinate=0
0.4553613604156826,error_category=none & is_correct=1 & is_uncertain=0
0.4553613604156826,error_category=none & is_uncertain=0
0.4553613604156826,error_category=none & is_correct=1
0.4553613604156826,is_correct=1 & is_uncertain=0
0.4553613604156826,is_correct=1
0.4553613604156826,error_category=none
0.4457250826641474,is_correct=0 & uses_coordinate=0
0.43693906471421823,has_formula=1 & is_uncertain=0 & noise_keyword_hit=none
0.43693906471421823,has_formula=1 & is_uncertain=0 & noise_keyword_present=0
0.43693906471421823,has_formula=1 & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.42890883325460555,is_correct=0 & noise_keyword_hit=none
0.42890883325460555,is_correct=0 & noise_keyword_hit=none & noise_keyword_present=0
0.42890883325460555,is_correct=0 & noise_keyword_present=0
0.42031176192725556,criticality=borderline & uses_coordinate=0
0.41700519603212094,ai_judgment=cannot_pass & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.41700519603212094,ai_judgment=cannot_pass & noise_keyword_hit=none
0.41700519603212094,ai_judgment=cannot_pass & noise_keyword_present=0
0.41700519603212094,ai_judgment=cannot_pass & is_uncertain=0 & noise_keyword_present=0
0.41700519603212094,ai_judgment=cannot_pass & noise_keyword_hit=none & noise_keyword_present=0
0.41700519603212094,ai_judgment=cannot_pass & is_uncertain=0 & noise_keyword_hit=none
0.39555975436939067,criticality=borderline & has_formula=1
0.3931979215871516,ai_judgment=cannot_pass & has_formula=1 & is_uncertain=0 & noise_keyword_present=0
0.3931979215871516,ai_judgment=cannot_pass & has_formula=1 & is_uncertain=0 & noise_keyword_hit=none
0.3931979215871516,ai_judgment=cannot_pass & has_formula=1 & noise_keyword_hit=none & noise_keyword_present=0
0.3931979215871516,ai_judgment=cannot_pass & has_formula=1 & noise_keyword_hit=none
0.3931979215871516,ai_judgment=cannot_pass & has_formula=1 & noise_keyword_present=0
0.3925366084081247,criticality=borderline & noise_keyword_hit=none
0.3925366084081247,criticality=borderline & noise_keyword_present=0
0.3925366084081247,criticality=borderline & noise_keyword_hit=none & noise_keyword_present=0
0.3891355692017005,level=L1
0.38497874350495986,error_category=none & has_formula=1 & is_uncertain=0
0.38497874350495986,has_formula=1 & is_correct=1 & is_uncertain=0
0.38497874350495986,has_formula=1 & is_correct=1
0.38497874350495986,error_category=none & has_formula=1 & is_correct=1
0.38497874350495986,error_category=none & has_formula=1 & is_correct=1 & is_uncertain=0
0.38497874350495986,error_category=none & has_formula=1
0.3811998110533774,has_formula=1 & is_uncertain=0 & uses_coordinate=0
0.3732640529050543,level=L1 & uses_coordinate=0
0.3697685403873406,ai_judgment=cannot_pass & is_uncertain=0 & uses_coordinate=0
0.3697685403873406,ai_judgment=cannot_pass & uses_coordinate=0
0.36598960793575813,has_formula=1 & is_correct=0
0.34671705243268774,ai_judgment=cannot_pass & error_category=none
0.34671705243268774,ai_judgment=cannot_pass & is_correct=1 & is_uncertain=0
0.34671705243268774,ai_judgment=cannot_pass & is_correct=1
0.34671705243268774,ai_judgment=cannot_pass & error_category=none & is_correct=1
0.34671705243268774,ai_judgment=cannot_pass & error_category=none & is_correct=1 & is_uncertain=0
0.34671705243268774,ai_judgment=cannot_pass & error_category=none & is_uncertain=0
0.3392536608408125,is_correct=0 & noise_keyword_present=0 & uses_coordinate=0
0.3392536608408125,is_correct=0 & noise_keyword_hit=none & uses_coordinate=0
0.3392536608408125,is_correct=0 & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.33500236183278226,has_formula=1 & noise_keyword_present=0 & uses_coordinate=0
0.33500236183278226,has_formula=1 & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.33500236183278226,has_formula=1 & noise_keyword_hit=none & uses_coordinate=0
0.33018422295701466,error_category=under_specification & is_correct=0 & is_uncertain=1
0.33018422295701466,ai_judgment=uncertain & is_correct=0 & is_uncertain=1
0.33018422295701466,ai_judgment=uncertain & error_category=under_specification & is_correct=0
0.33018422295701466,error_category=under_specification & is_correct=0
0.33018422295701466,ai_judgment=uncertain & is_correct=0
0.33018422295701466,ai_judgment=uncertain & error_category=under_specification
0.33018422295701466,ai_judgment=uncertain & is_uncertain=1
0.33018422295701466,error_category=under_specification & is_uncertain=1
0.33018422295701466,error_category=under_specification
0.33018422295701466,is_correct=0 & is_uncertain=1
0.33018422295701466,ai_judgment=uncertain & error_category=under_specification & is_correct=0 & is_uncertain=1
0.33018422295701466,ai_judgment=uncertain & error_category=under_specification & is_uncertain=1
0.33018422295701466,ai_judgment=uncertain
0.33018422295701466,is_uncertain=1
0.32923948984411905,is_correct=1 & uses_coordinate=0
0.32923948984411905,error_category=none & uses_coordinate=0
0.32923948984411905,error_category=none & is_correct=1 & uses_coordinate=0
0.32923948984411905,error_category=none & is_uncertain=0 & uses_coordinate=0
0.32923948984411905,is_correct=1 & is_uncertain=0 & uses_coordinate=0
0.32923948984411905,error_category=none & is_correct=1 & is_uncertain=0 & uses_coordinate=0
0.32772791686348607,criticality=borderline & is_uncertain=0
0.3218705715635333,level=L2
0.32035899858290035,criticality=borderline & is_correct=0
0.3153519130845536,ai_judgment=cannot_pass & has_formula=1 & uses_coordinate=0
0.3153519130845536,ai_judgment=cannot_pass & has_formula=1 & is_uncertain=0 & uses_coordinate=0
0.3148795465281058,error_category=under_specification & is_correct=0 & is_uncertain=1 & uses_coordinate=0
0.3148795465281058,ai_judgment=uncertain & is_correct=0 & is_uncertain=1 & uses_coordinate=0
0.3148795465281058,ai_judgment=uncertain & error_category=under_specification & is_uncertain=1 & uses_coordinate=0
0.3148795465281058,is_uncertain=1 & uses_coordinate=0
0.3148795465281058,is_correct=0 & is_uncertain=1 & uses_coordinate=0
0.3148795465281058,ai_judgment=uncertain & is_uncertain=1 & uses_coordinate=0
0.3148795465281058,error_category=under_specification & uses_coordinate=0
0.3148795465281058,ai_judgment=uncertain & is_correct=0 & uses_coordinate=0
0.3148795465281058,ai_judgment=uncertain & error_category=under_specification & is_correct=0 & uses_coordinate=0
0.3148795465281058,ai_judgment=uncertain & error_category=under_specification & uses_coordinate=0
0.3148795465281058,error_category=under_specification & is_correct=0 & uses_coordinate=0
0.3148795465281058,ai_judgment=uncertain & uses_coordinate=0
0.3148795465281058,error_category=under_specification & is_uncertain=1 & uses_coordinate=0
0.30741615493623053,level=L2 & uses_coordinate=0
0.3052432687765706,ai_judgment=cannot_pass & criticality=borderline
0.3052432687765706,ai_judgment=cannot_pass & criticality=borderline & is_uncertain=0
0.3007085498346717,ai_judgment=cannot_pass & error_category=none & has_formula=1
0.3007085498346717,ai_judgment=cannot_pass & has_formula=1 & is_correct=1
0.3007085498346717,ai_judgment=cannot_pass & has_formula=1 & is_correct=1 & is_uncertain=0
0.3007085498346717,ai_judgment=cannot_pass & error_category=none & has_formula=1 & is_correct=1
0.3007085498346717,ai_judgment=cannot_pass & error_category=none & has_formula=1 & is_uncertain=0
0.29050543221539915,criticality=borderline & noise_keyword_hit=none & uses_coordinate=0
0.29050543221539915,criticality=borderline & noise_keyword_present=0 & uses_coordinate=0
0.29050543221539915,criticality=borderline & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.289466225791214,is_uncertain=0 & noise_keyword_present=0 & uses_coordinate=0
0.289466225791214,is_uncertain=0 & noise_keyword_hit=none & uses_coordinate=0
0.289466225791214,is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.2891828058573453,criticality=borderline & has_formula=1 & is_uncertain=0
0.28899385923476617,level=L3
0.2876712328767123,noise_keyword_present=1
0.285592820028342,criticality=borderline & has_formula=1 & noise_keyword_hit=none & noise_keyword_present=0
0.285592820028342,criticality=borderline & has_formula=1 & noise_keyword_present=0
0.285592820028342,criticality=borderline & has_formula=1 & noise_keyword_hit=none
0.2854038734057629,criticality=borderline & has_formula=1 & uses_coordinate=0
0.2834199338686821,is_correct=1 & is_uncertain=0 & noise_keyword_hit=none
0.2834199338686821,is_correct=1 & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.2834199338686821,error_category=none & noise_keyword_hit=none
0.2834199338686821,is_correct=1 & noise_keyword_present=0
0.2834199338686821,error_category=none & is_correct=1 & is_uncertain=0 & noise_keyword_hit=none
0.2834199338686821,error_category=none & is_correct=1 & noise_keyword_hit=none & noise_keyword_present=0
0.2834199338686821,error_category=none & is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0
0.2834199338686821,error_category=none & is_correct=1 & noise_keyword_hit=none
0.2834199338686821,error_category=none & is_uncertain=0 & noise_keyword_hit=none
0.2834199338686821,error_category=none & is_correct=1 & noise_keyword_present=0
0.2834199338686821,error_category=none & noise_keyword_hit=none & noise_keyword_present=0
0.2834199338686821,error_category=none & is_uncertain=0 & noise_keyword_present=0
0.2834199338686821,is_correct=1 & noise_keyword_hit=none & noise_keyword_present=0
0.2834199338686821,error_category=none & noise_keyword_present=0
0.2834199338686821,is_correct=1 & noise_keyword_hit=none
0.2834199338686821,is_correct=1 & is_uncertain=0 & noise_keyword_present=0
0.2834199338686821,error_category=none & is_correct=1 & is_uncertain=0 & noise_keyword_present=0
0.2795465281058101,level=L2 & noise_keyword_hit=none & noise_keyword_present=0
0.2795465281058101,level=L2 & noise_keyword_hit=none
0.2795465281058101,level=L2 & noise_keyword_present=0
0.2749173358526216,has_formula=1 & level=L1
0.27246102975909303,has_formula=1 & is_correct=0 & uses_coordinate=0
0.2706660368445914,level=L3 & noise_keyword_hit=none
0.2706660368445914,level=L3 & noise_keyword_present=0
0.2706660368445914,level=L3 & noise_keyword_hit=none & noise_keyword_present=0
0.2701936702881436,criticality=borderline & is_correct=0 & uses_coordinate=0
0.26934341048653754,ai_judgment=cannot_pass & criticality=borderline & has_formula=1 & is_uncertain=0
0.26934341048653754,ai_judgment=cannot_pass & criticality=borderline & has_formula=1
0.26858762399622105,level=L2 & noise_keyword_hit=none & uses_coordinate=0
0.26858762399622105,level=L2 & noise_keyword_present=0 & uses_coordinate=0
0.26858762399622105,level=L2 & noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0
0.26717052432687766,has_formula=1 & is_correct=0 & noise_keyword_hit=none & noise_keyword_present=0
0.26717052432687766,has_formula=1 & is_correct=0 & noise_keyword_hit=none
0.26717052432687766,has_formula=1 & is_correct=0 & noise_keyword_present=0
0.2612187057156353,criticality=wide
0.2601794992914502,error_category=none & has_formula=1 & uses_coordinate=0
0.2601794992914502,error_category=none & has_formula=1 & is_correct=1 & uses_coordinate=0
0.2601794992914502,has_formula=1 & is_correct=1 & is_uncertain=0 & uses_coordinate=0
