strategy,model,case_id,noise_label,repeat,level_consistency,all_levels_same,l1_judgment,l2_judgment,l3_judgment
baseline,claude-opus-4-6,C001,ambient_noise,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C001,ambient_noise,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C001,ambient_noise,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C001,lighting,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C001,lighting,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C001,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C001,material_color,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C001,material_color,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C001,material_color,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
baseline,claude-opus-4-6,C001,none,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C001,none,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C001,none,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C003,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C003,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C003,ambient_noise,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C003,emotional_pressure,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C003,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C003,emotional_pressure,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C003,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C003,lighting,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C003,lighting,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
baseline,claude-opus-4-6,C003,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
