model,criticality,margin_bin,samples,mean_margin_cm,accuracy,uncertain_rate,can_pass_reference_rate,concept_confusion_rate,under_specification_rate,noise_distraction_rate
Kimi-K2-Thinking,borderline,near_zero_negative,46,-2.4130434782608696,0.9565217391304348,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0
Kimi-K2-Thinking,narrow,negative,64,-10.90625,0.96875,0.03125,0.0,0.0,0.03125,0.0
Kimi-K2-Thinking,wide,large_positive,42,18.61904761904762,0.6190476190476191,0.30952380952380953,1.0,0.047619047619047616,0.30952380952380953,0.023809523809523808
claude-opus-4-6,borderline,near_zero_negative,260,-1.9076923076923078,0.9461538461538461,0.05384615384615385,0.0,0.0,0.05384615384615385,0.0
claude-opus-4-6,borderline,near_zero_positive,105,1.5714285714285714,0.9333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0
claude-opus-4-6,borderline,small_positive,120,3.875,0.11666666666666667,0.38333333333333336,1.0,0.49166666666666664,0.38333333333333336,0.008333333333333333
claude-opus-4-6,borderline,moderate_positive,191,7.450261780104712,0.13089005235602094,0.25654450261780104,1.0,0.612565445026178,0.25654450261780104,0.0
claude-opus-4-6,narrow,negative,260,-8.992307692307692,0.9346153846153846,0.06538461538461539,0.0,0.0,0.06538461538461539,0.0
claude-opus-4-6,wide,moderate_positive,45,10.0,0.3333333333333333,0.0,1.0,0.6444444444444445,0.0,0.022222222222222223
claude-opus-4-6,wide,large_positive,297,19.494949494949495,0.4107744107744108,0.0,1.0,0.5858585858585859,0.0,0.003367003367003367
claude-sonnet-4-6-thinking,borderline,near_zero_negative,262,-1.9083969465648856,0.4770992366412214,0.5229007633587787,0.0,0.0,0.5229007633587787,0.0
claude-sonnet-4-6-thinking,borderline,near_zero_positive,105,1.5714285714285714,0.34285714285714286,0.6571428571428571,0.0,0.0,0.6571428571428571,0.0
claude-sonnet-4-6-thinking,borderline,small_positive,120,3.875,0.0,0.9416666666666667,1.0,0.05,0.9416666666666667,0.008333333333333333
claude-sonnet-4-6-thinking,borderline,moderate_positive,194,7.463917525773196,0.0,0.9484536082474226,1.0,0.030927835051546393,0.9484536082474226,0.020618556701030927
claude-sonnet-4-6-thinking,narrow,negative,258,-8.968992248062015,0.5271317829457365,0.4728682170542636,0.0,0.0,0.4728682170542636,0.0
claude-sonnet-4-6-thinking,wide,moderate_positive,45,10.0,0.26666666666666666,0.5777777777777777,1.0,0.06666666666666667,0.5777777777777777,0.08888888888888889
claude-sonnet-4-6-thinking,wide,large_positive,297,19.447811447811446,0.27946127946127947,0.6127946127946128,1.0,0.05387205387205387,0.6127946127946128,0.05387205387205387
deepseek-v4-pro,borderline,near_zero_negative,75,-2.2266666666666666,0.5066666666666667,0.49333333333333335,0.0,0.0,0.49333333333333335,0.0
deepseek-v4-pro,borderline,moderate_positive,10,8.0,0.2,0.8,1.0,0.0,0.8,0.0
deepseek-v4-pro,narrow,negative,79,-10.316455696202532,0.45569620253164556,0.5443037974683544,0.0,0.0,0.5443037974683544,0.0
deepseek-v4-pro,wide,large_positive,59,18.10169491525424,0.864406779661017,0.06779661016949153,1.0,0.06779661016949153,0.06779661016949153,0.0
gemini-3-flash-preview,borderline,near_zero_negative,279,-1.967741935483871,0.25448028673835127,0.7455197132616488,0.0,0.0,0.7455197132616488,0.0
gemini-3-flash-preview,borderline,near_zero_positive,103,1.5631067961165048,0.0,1.0,0.0,0.0,1.0,0.0
gemini-3-flash-preview,borderline,small_positive,119,3.8739495798319328,0.03361344537815126,0.9663865546218487,1.0,0.0,0.9663865546218487,0.0
gemini-3-flash-preview,borderline,moderate_positive,194,7.463917525773196,0.04639175257731959,0.9536082474226805,1.0,0.0,0.9536082474226805,0.0
gemini-3-flash-preview,narrow,negative,279,-9.096774193548388,0.4014336917562724,0.5985663082437276,0.0,0.0,0.5985663082437276,0.0
gemini-3-flash-preview,wide,moderate_positive,45,10.0,0.15555555555555556,0.8444444444444444,1.0,0.0,0.8444444444444444,0.0
gemini-3-flash-preview,wide,large_positive,311,19.40192926045016,0.3536977491961415,0.4983922829581994,1.0,0.08681672025723473,0.4983922829581994,0.06109324758842444
gpt-4o,borderline,near_zero_negative,360,-2.1416666666666666,0.6416666666666667,0.3333333333333333,0.0,0.025,0.3333333333333333,0.0
gpt-4o,borderline,near_zero_positive,193,1.766839378238342,0.5803108808290155,0.38341968911917096,0.0,0.02072538860103627,0.38341968911917096,0.015544041450777202
gpt-4o,borderline,small_positive,268,4.0,0.048507462686567165,0.31343283582089554,1.0,0.5932835820895522,0.31343283582089554,0.04477611940298507
gpt-4o,borderline,moderate_positive,288,7.53125,0.09375,0.3541666666666667,1.0,0.4826388888888889,0.3541666666666667,0.06944444444444445
gpt-4o,narrow,very_negative,21,-31.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0
gpt-4o,narrow,negative,333,-9.3993993993994,0.6756756756756757,0.32432432432432434,0.0,0.0,0.32432432432432434,0.0
gpt-4o,wide,moderate_positive,51,10.0,0.1568627450980392,0.23529411764705882,1.0,0.5686274509803921,0.23529411764705882,0.0392156862745098
gpt-4o,wide,large_positive,482,18.87759336099585,0.22821576763485477,0.27593360995850624,1.0,0.45435684647302904,0.27593360995850624,0.04149377593360996
gpt-4o-mini,borderline,near_zero_negative,360,-2.1416666666666666,0.9722222222222222,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.0
gpt-4o-mini,borderline,near_zero_positive,177,1.7457627118644068,0.9887005649717514,0.011299435028248588,0.0,0.0,0.011299435028248588,0.0
gpt-4o-mini,borderline,small_positive,249,4.0,0.05220883534136546,0.14457831325301204,1.0,0.6385542168674698,0.14457831325301204,0.11646586345381527
gpt-4o-mini,borderline,moderate_positive,270,7.5,0.02962962962962963,0.14444444444444443,1.0,0.6222222222222222,0.14444444444444443,0.14814814814814814
gpt-4o-mini,narrow,very_negative,21,-31.0,0.9523809523809523,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0
gpt-4o-mini,narrow,negative,303,-9.267326732673267,0.976897689768977,0.0231023102310231,0.0,0.0,0.0231023102310231,0.0
gpt-4o-mini,wide,moderate_positive,36,10.0,0.16666666666666666,0.0,1.0,0.8333333333333334,0.0,0.0
gpt-4o-mini,wide,large_positive,384,19.2578125,0.3411458333333333,0.0390625,1.0,0.5833333333333334,0.0390625,0.036458333333333336
gpt-5.5,borderline,near_zero_negative,273,-1.967032967032967,0.8315018315018315,0.1684981684981685,0.0,0.0,0.1684981684981685,0.0
gpt-5.5,borderline,near_zero_positive,105,1.5714285714285714,0.6857142857142857,0.3142857142857143,0.0,0.0,0.3142857142857143,0.0
gpt-5.5,borderline,small_positive,120,3.875,0.0,0.825,1.0,0.075,0.825,0.1
gpt-5.5,borderline,moderate_positive,189,7.444444444444445,0.015873015873015872,0.6825396825396826,1.0,0.14285714285714285,0.6825396825396826,0.15873015873015872
gpt-5.5,narrow,negative,279,-9.096774193548388,0.8566308243727598,0.14336917562724014,0.0,0.0,0.14336917562724014,0.0
gpt-5.5,wide,moderate_positive,45,10.0,0.3333333333333333,0.35555555555555557,1.0,0.15555555555555556,0.35555555555555557,0.15555555555555556
gpt-5.5,wide,large_positive,308,19.503246753246753,0.38311688311688313,0.32142857142857145,1.0,0.17207792207792208,0.32142857142857145,0.12337662337662338
grok-4,borderline,near_zero_negative,250,-2.016,0.7,0.244,0.0,0.004,0.244,0.0
grok-4,borderline,near_zero_positive,99,1.5454545454545454,0.797979797979798,0.04040404040404041,0.0,0.0,0.04040404040404041,0.0
grok-4,borderline,small_positive,110,3.909090909090909,0.2727272727272727,0.24545454545454545,1.0,0.03636363636363636,0.24545454545454545,0.06363636363636363
grok-4,borderline,moderate_positive,163,7.398773006134969,0.2392638036809816,0.3067484662576687,1.0,0.12269938650306748,0.3067484662576687,0.0736196319018405
grok-4,narrow,negative,266,-9.015037593984962,0.8120300751879699,0.18796992481203006,0.0,0.0,0.18796992481203006,0.0
grok-4,wide,moderate_positive,45,10.0,0.4222222222222222,0.0,1.0,0.0,0.0,0.0
grok-4,wide,large_positive,273,19.626373626373628,0.47619047619047616,0.15384615384615385,1.0,0.09157509157509157,0.15384615384615385,0.0695970695970696
