model,noise_label,flip_rate,noisy_accuracy,samples
Kimi-K2-Thinking,emotional_pressure,0.6774193548387096,0.8709677419354839,31
Kimi-K2-Thinking,lighting,0.3181818181818182,0.9545454545454546,22
Kimi-K2-Thinking,ambient_noise,0.23529411764705882,0.8823529411764706,34
Kimi-K2-Thinking,material_color,0.16666666666666666,0.7333333333333333,30
claude-opus-4-6,emotional_pressure,0.20416666666666666,0.6458333333333334,240
claude-opus-4-6,lighting,0.15294117647058825,0.596078431372549,255
claude-opus-4-6,material_color,0.15185185185185185,0.5962962962962963,270
claude-opus-4-6,ambient_noise,0.14606741573033707,0.5692883895131086,267
claude-sonnet-4-6-thinking,material_color,0.3643122676579926,0.29739776951672864,269
claude-sonnet-4-6-thinking,ambient_noise,0.34210526315789475,0.41353383458646614,266
claude-sonnet-4-6-thinking,lighting,0.3176470588235294,0.3254901960784314,255
claude-sonnet-4-6-thinking,emotional_pressure,0.23333333333333334,0.2875,240
deepseek-v4-pro,lighting,0.5,0.6190476190476191,42
deepseek-v4-pro,material_color,0.49019607843137253,0.43137254901960786,51
deepseek-v4-pro,ambient_noise,0.48717948717948717,0.5641025641025641,39
deepseek-v4-pro,emotional_pressure,0.48717948717948717,0.6666666666666666,39
gemini-3-flash-preview,ambient_noise,0.1509433962264151,0.2792452830188679,265
gemini-3-flash-preview,material_color,0.1392857142857143,0.23214285714285715,280
gemini-3-flash-preview,lighting,0.13725490196078433,0.2235294117647059,255
gemini-3-flash-preview,emotional_pressure,0.12941176470588237,0.2235294117647059,255
gpt-4o,lighting,0.19951338199513383,0.41119221411192214,411
gpt-4o,emotional_pressure,0.1375,0.3575,400
gpt-4o,material_color,0.09774436090225563,0.3659147869674185,399
gpt-4o,ambient_noise,0.09067357512953368,0.3549222797927461,386
gpt-4o-mini,lighting,0.18666666666666668,0.5573333333333333,375
gpt-4o-mini,material_color,0.15555555555555556,0.5388888888888889,360
gpt-4o-mini,emotional_pressure,0.1388888888888889,0.5333333333333333,360
gpt-4o-mini,ambient_noise,0.0927536231884058,0.5623188405797102,345
gpt-5.5,emotional_pressure,0.44313725490196076,0.4588235294117647,255
gpt-5.5,lighting,0.37254901960784315,0.4980392156862745,255
gpt-5.5,material_color,0.3649122807017544,0.5789473684210527,285
gpt-5.5,ambient_noise,0.34572490706319703,0.5650557620817844,269
grok-4,ambient_noise,0.3628691983122363,0.5991561181434599,237
grok-4,lighting,0.3275862068965517,0.5775862068965517,232
grok-4,emotional_pressure,0.3217391304347826,0.5391304347826087,230
grok-4,material_color,0.2976190476190476,0.5753968253968254,252
