strategy,model,noise_label,flip_rate,noisy_accuracy,samples
baseline,Kimi-K2-Thinking,emotional_pressure,0.6,0.8,5
baseline,Kimi-K2-Thinking,ambient_noise,0.16666666666666666,0.8333333333333334,6
baseline,Kimi-K2-Thinking,material_color,0.16666666666666666,0.8333333333333334,6
baseline,Kimi-K2-Thinking,lighting,0.0,1.0,4
baseline,claude-opus-4-6,emotional_pressure,0.25,0.3958333333333333,48
baseline,claude-opus-4-6,material_color,0.12962962962962962,0.35185185185185186,54
baseline,claude-opus-4-6,lighting,0.11764705882352941,0.2549019607843137,51
baseline,claude-opus-4-6,ambient_noise,0.09433962264150944,0.24528301886792453,53
baseline,claude-sonnet-4-6-thinking,material_color,0.2777777777777778,0.1111111111111111,54
baseline,claude-sonnet-4-6-thinking,emotional_pressure,0.22916666666666666,0.20833333333333334,48
baseline,claude-sonnet-4-6-thinking,ambient_noise,0.20754716981132076,0.22641509433962265,53
baseline,claude-sonnet-4-6-thinking,lighting,0.17647058823529413,0.1568627450980392,51
baseline,deepseek-v4-pro,material_color,0.4444444444444444,0.4444444444444444,9
baseline,deepseek-v4-pro,ambient_noise,0.16666666666666666,0.6666666666666666,6
baseline,deepseek-v4-pro,emotional_pressure,0.16666666666666666,1.0,6
baseline,deepseek-v4-pro,lighting,0.16666666666666666,0.6666666666666666,6
baseline,gemini-3-flash-preview,ambient_noise,0.20754716981132076,0.2830188679245283,53
baseline,gemini-3-flash-preview,emotional_pressure,0.17647058823529413,0.21568627450980393,51
baseline,gemini-3-flash-preview,material_color,0.16071428571428573,0.21428571428571427,56
baseline,gemini-3-flash-preview,lighting,0.13725490196078433,0.17647058823529413,51
baseline,gpt-4o,lighting,0.21818181818181817,0.3181818181818182,110
baseline,gpt-4o,material_color,0.1574074074074074,0.2777777777777778,108
baseline,gpt-4o,emotional_pressure,0.1111111111111111,0.26851851851851855,108
baseline,gpt-4o,ambient_noise,0.10377358490566038,0.2358490566037736,106
baseline,gpt-4o-mini,material_color,0.16666666666666666,0.4583333333333333,72
baseline,gpt-4o-mini,emotional_pressure,0.1527777777777778,0.375,72
baseline,gpt-4o-mini,lighting,0.14666666666666667,0.4,75
baseline,gpt-4o-mini,ambient_noise,0.043478260869565216,0.42028985507246375,69
baseline,gpt-5.5,material_color,0.3508771929824561,0.2982456140350877,57
baseline,gpt-5.5,ambient_noise,0.3148148148148148,0.2777777777777778,54
baseline,gpt-5.5,emotional_pressure,0.3137254901960784,0.23529411764705882,51
baseline,gpt-5.5,lighting,0.3137254901960784,0.21568627450980393,51
baseline,grok-4,emotional_pressure,0.3617021276595745,0.3404255319148936,47
baseline,grok-4,lighting,0.3541666666666667,0.375,48
