model,noise_label,noise_keyword_hit,samples,keyword_present,accuracy,uncertain_rate,concept_confusion_rate,under_specification_rate,noise_distraction_rate
Kimi-K2-Thinking,ambient_noise,none,34,0.0,0.8823529411764706,0.08823529411764706,0.029411764705882353,0.08823529411764706,0.0
Kimi-K2-Thinking,emotional_pressure,none,29,0.0,0.8620689655172413,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.034482758620689655
Kimi-K2-Thinking,emotional_pressure,催促,1,1.0,1.0,0.0,0.0,0.0,0.0
Kimi-K2-Thinking,emotional_pressure,着急,1,1.0,1.0,0.0,0.0,0.0,0.0
Kimi-K2-Thinking,lighting,none,13,0.0,0.9230769230769231,0.07692307692307693,0.0,0.07692307692307693,0.0
Kimi-K2-Thinking,lighting,灯光,6,1.0,1.0,0.0,0.0,0.0,0.0
Kimi-K2-Thinking,lighting,干燥,3,1.0,1.0,0.0,0.0,0.0,0.0
Kimi-K2-Thinking,material_color,扶手,18,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0
Kimi-K2-Thinking,material_color,红色,7,1.0,1.0,0.0,0.0,0.0,0.0
Kimi-K2-Thinking,material_color,墙面,3,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0
Kimi-K2-Thinking,material_color,none,2,0.0,0.5,0.5,0.0,0.5,0.0
claude-opus-4-6,ambient_noise,none,209,0.0,0.49760765550239233,0.1339712918660287,0.3684210526315789,0.1339712918660287,0.0
claude-opus-4-6,ambient_noise,噪声,58,1.0,0.8275862068965517,0.1724137931034483,0.0,0.1724137931034483,0.0
claude-opus-4-6,emotional_pressure,none,148,0.0,0.5202702702702703,0.02702702702702703,0.4527027027027027,0.02702702702702703,0.0
claude-opus-4-6,emotional_pressure,着急,80,1.0,0.8875,0.0875,0.0,0.0875,0.025
claude-opus-4-6,emotional_pressure,紧张,9,1.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0
claude-opus-4-6,emotional_pressure,催促,3,1.0,1.0,0.0,0.0,0.0,0.0
claude-opus-4-6,lighting,none,224,0.0,0.5401785714285714,0.12946428571428573,0.33035714285714285,0.12946428571428573,0.0
claude-opus-4-6,lighting,灯光,25,1.0,1.0,0.0,0.0,0.0,0.0
claude-opus-4-6,lighting,干燥,6,1.0,1.0,0.0,0.0,0.0,0.0
claude-opus-4-6,material_color,none,208,0.0,0.5625,0.0625,0.375,0.0625,0.0
claude-opus-4-6,material_color,墙面,32,1.0,0.75,0.21875,0.03125,0.21875,0.0
claude-opus-4-6,material_color,扶手,30,1.0,0.6666666666666666,0.3,0.0,0.3,0.03333333333333333
claude-sonnet-4-6-thinking,ambient_noise,none,138,0.0,0.15942028985507245,0.7898550724637681,0.050724637681159424,0.7898550724637681,0.0
claude-sonnet-4-6-thinking,ambient_noise,噪声,127,1.0,0.6929133858267716,0.25196850393700787,0.0,0.25196850393700787,0.05511811023622047
claude-sonnet-4-6-thinking,ambient_noise,声音,1,1.0,0.0,0.0,1.0,0.0,0.0
claude-sonnet-4-6-thinking,emotional_pressure,着急,129,1.0,0.5038759689922481,0.4263565891472868,0.0,0.4263565891472868,0.06976744186046512
claude-sonnet-4-6-thinking,emotional_pressure,none,105,0.0,0.0,1.0,0.0,1.0,0.0
claude-sonnet-4-6-thinking,emotional_pressure,催促,6,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0
claude-sonnet-4-6-thinking,lighting,none,140,0.0,0.02857142857142857,0.9714285714285714,0.0,0.9714285714285714,0.0
claude-sonnet-4-6-thinking,lighting,灯光,115,1.0,0.6869565217391305,0.24347826086956523,0.0,0.24347826086956523,0.06956521739130435
claude-sonnet-4-6-thinking,material_color,none,213,0.0,0.17370892018779344,0.7417840375586855,0.08450704225352113,0.7417840375586855,0.0
claude-sonnet-4-6-thinking,material_color,扶手,22,1.0,0.5909090909090909,0.36363636363636365,0.0,0.36363636363636365,0.045454545454545456
claude-sonnet-4-6-thinking,material_color,墙面,17,1.0,0.8235294117647058,0.17647058823529413,0.0,0.17647058823529413,0.0
claude-sonnet-4-6-thinking,material_color,红色,17,1.0,0.9411764705882353,0.058823529411764705,0.0,0.058823529411764705,0.0
deepseek-v4-pro,ambient_noise,none,38,0.0,0.5526315789473685,0.4473684210526316,0.0,0.4473684210526316,0.0
deepseek-v4-pro,ambient_noise,噪声,1,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,emotional_pressure,none,31,0.0,0.5806451612903226,0.3548387096774194,0.06451612903225806,0.3548387096774194,0.0
deepseek-v4-pro,emotional_pressure,着急,5,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,emotional_pressure,催促,3,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,lighting,none,21,0.0,0.38095238095238093,0.5714285714285714,0.047619047619047616,0.5714285714285714,0.0
deepseek-v4-pro,lighting,灯光,16,1.0,0.8125,0.1875,0.0,0.1875,0.0
deepseek-v4-pro,lighting,干燥,5,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,material_color,墙面,25,1.0,0.08,0.92,0.0,0.92,0.0
deepseek-v4-pro,material_color,none,20,0.0,0.85,0.1,0.05,0.1,0.0
deepseek-v4-pro,material_color,扶手,6,1.0,0.5,0.5,0.0,0.5,0.0
gemini-3-flash-preview,ambient_noise,none,201,0.0,0.09950248756218906,0.8706467661691543,0.014925373134328358,0.8706467661691543,0.014925373134328358
gemini-3-flash-preview,ambient_noise,噪声,64,1.0,0.84375,0.125,0.0,0.125,0.03125
gemini-3-flash-preview,emotional_pressure,none,187,0.0,0.0374331550802139,0.9518716577540107,0.0053475935828877,0.9518716577540107,0.0053475935828877
gemini-3-flash-preview,emotional_pressure,催促,34,1.0,0.7647058823529411,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941
gemini-3-flash-preview,emotional_pressure,着急,32,1.0,0.6875,0.21875,0.03125,0.21875,0.0625
gemini-3-flash-preview,emotional_pressure,紧张,2,1.0,1.0,0.0,0.0,0.0,0.0
gemini-3-flash-preview,lighting,none,190,0.0,0.07368421052631578,0.9105263157894737,0.015789473684210527,0.9105263157894737,0.0
gemini-3-flash-preview,lighting,灯光,42,1.0,0.6428571428571429,0.35714285714285715,0.0,0.35714285714285715,0.0
gemini-3-flash-preview,lighting,干燥,15,1.0,0.7333333333333333,0.0,0.06666666666666667,0.0,0.2
gemini-3-flash-preview,lighting,光线,5,1.0,1.0,0.0,0.0,0.0,0.0
gemini-3-flash-preview,lighting,积水,3,1.0,0.0,1.0,0.0,1.0,0.0
gemini-3-flash-preview,material_color,none,225,0.0,0.13333333333333333,0.8355555555555556,0.03111111111111111,0.8355555555555556,0.0
gemini-3-flash-preview,material_color,红色,23,1.0,0.8260869565217391,0.17391304347826086,0.0,0.17391304347826086,0.0
gemini-3-flash-preview,material_color,墙面,15,1.0,0.26666666666666666,0.6,0.13333333333333333,0.6,0.0
gemini-3-flash-preview,material_color,扶手,9,1.0,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
gemini-3-flash-preview,material_color,瓷砖,7,1.0,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,0.0
