antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
ai_judgment=cannot_pass & is_correct=0 & noise_keyword_hit=none,error_category=concept_confusion,0.18261691072272082,0.16381672177609824,0.16060462919225318,0.8794619762027936,5.3685726748019444,1.0,0.13068892553677866,6.937091316767395,0.995531668978271,0.864260294865277,0.8558473639257225,0.9299270665327695
ai_judgment=cannot_pass & is_correct=0 & noise_keyword_present=0,error_category=concept_confusion,0.18261691072272082,0.16381672177609824,0.16060462919225318,0.8794619762027936,5.3685726748019444,1.0,0.13068892553677866,6.937091316767395,0.995531668978271,0.864260294865277,0.8558473639257225,0.9299270665327695
is_correct=0 & is_uncertain=0 & noise_keyword_present=0,error_category=concept_confusion,0.18715162966461973,0.16381672177609824,0.16239962210675485,0.8677435638566382,5.297038998513561,1.0,0.13174105566004246,6.322439214357066,0.9979909097031049,0.8612224448897797,0.8418331966356927,0.9295465224127482
is_correct=0 & is_uncertain=0 & noise_keyword_hit=none,error_category=concept_confusion,0.18715162966461973,0.16381672177609824,0.16239962210675485,0.8677435638566382,5.297038998513561,1.0,0.13174105566004246,6.322439214357066,0.9979909097031049,0.8612224448897797,0.8418331966356927,0.9295465224127482
ai_judgment=cannot_pass & has_formula=1 & is_correct=0,error_category=concept_confusion,0.1998110533774209,0.16381672177609824,0.15947094945677845,0.7981087470449172,4.8719614114593135,1.0,0.12673855771786038,4.1417508979942665,0.9931952472344545,0.7811198519204071,0.7585562182205906,0.8857902443413743
has_formula=1 & is_correct=0 & is_uncertain=0,error_category=concept_confusion,0.20453471894189892,0.16381672177609824,0.16117146905999055,0.7879907621247113,4.810197357030029,1.0,0.12766526191353306,3.9440888831258114,0.9957798798706815,0.7779297765617874,0.7464560182002112,0.8859215632999566
ai_judgment=cannot_pass & is_correct=0,error_category=concept_confusion,0.2096362777515352,0.16381672177609824,0.1620217288615966,0.7728706624605678,4.717898478745739,1.0,0.1276798010749965,3.681529155513567,0.9970614781891719,0.7663092046470062,0.7283737388029724,0.8809566691772275
ai_judgment=cannot_pass & is_correct=0 & is_uncertain=0,error_category=concept_confusion,0.2096362777515352,0.16381672177609824,0.1620217288615966,0.7728706624605678,4.717898478745739,1.0,0.1276798010749965,3.681529155513567,0.9970614781891719,0.7663092046470062,0.7283737388029724,0.8809566691772275
is_correct=0 & is_uncertain=0,error_category=concept_confusion,0.21445441662730277,0.16381672177609824,0.16381672177609824,0.7638766519823789,4.6629955947136565,1.0,0.12868550227380793,3.5412985850154053,1.0,0.763876651982379,0.7176177111324685,0.8819383259911895
ai_judgment=uncertain,error_category=under_specification,0.33018422295701466,0.33018422295701466,0.33018422295701466,1.0,3.028612303290415,1.0,0.2211626018672871,inf,1.0,1.0,1.0,1.0
error_category=under_specification,ai_judgment=uncertain,0.33018422295701466,0.33018422295701466,0.33018422295701466,1.0,3.028612303290415,1.0,0.2211626018672871,inf,1.0,1.0,1.0,1.0
ai_judgment=uncertain & is_correct=0,error_category=under_specification,0.33018422295701466,0.33018422295701466,0.33018422295701466,1.0,3.028612303290415,1.0,0.2211626018672871,inf,1.0,1.0,1.0,1.0
error_category=under_specification & is_correct=0,ai_judgment=uncertain,0.33018422295701466,0.33018422295701466,0.33018422295701466,1.0,3.028612303290415,1.0,0.2211626018672871,inf,1.0,1.0,1.0,1.0
