model,level,groups_n,self_consistency,fully_divergent_rate
Kimi-K2-Thinking,L1,40,0.725,0.0
Kimi-K2-Thinking,L2,4,1.0,0.0
Kimi-K2-Thinking,L3,5,1.0,0.0
claude-opus-4-6,L1,161,0.6832298136645962,0.0
claude-opus-4-6,L2,140,1.0,0.0
claude-opus-4-6,L3,125,0.896,0.0
claude-sonnet-4-6-thinking,L1,165,0.7575757575757576,0.0
claude-sonnet-4-6-thinking,L2,139,0.7122302158273381,0.0
claude-sonnet-4-6-thinking,L3,125,0.896,0.0
deepseek-v4-pro,L1,60,0.5833333333333334,0.0
deepseek-v4-pro,L2,2,1.0,0.0
deepseek-v4-pro,L3,9,0.8888888888888888,0.0
gemini-3-flash-preview,L1,174,0.6494252873563219,0.0
gemini-3-flash-preview,L2,139,0.9568345323741008,0.0
gemini-3-flash-preview,L3,131,0.9618320610687023,0.0
gpt-4o,L1,210,0.8095238095238095,0.0
gpt-4o,L2,210,0.9476190476190476,0.0
gpt-4o,L3,180,0.7444444444444445,0.011111111111111112
gpt-4o-mini,L1,210,0.6571428571428571,0.009523809523809525
gpt-4o-mini,L2,210,0.9238095238095239,0.009523809523809525
gpt-4o-mini,L3,180,0.8833333333333333,0.0
gpt-5.5,L1,170,0.7705882352941177,0.0
gpt-5.5,L2,140,0.7857142857142857,0.0
gpt-5.5,L3,130,0.6923076923076923,0.0
grok-4,L1,165,0.5333333333333333,0.030303030303030304
grok-4,L2,133,0.7819548872180451,0.0
grok-4,L3,106,0.5377358490566038,0.0
