model,noise_label,groups_n,self_consistency
Kimi-K2-Thinking,ambient_noise,10,0.7
Kimi-K2-Thinking,emotional_pressure,11,0.7272727272727273
Kimi-K2-Thinking,lighting,6,0.8333333333333334
Kimi-K2-Thinking,material_color,10,0.8
Kimi-K2-Thinking,none,12,0.8333333333333334
claude-opus-4-6,ambient_noise,90,0.8222222222222222
claude-opus-4-6,emotional_pressure,80,0.8375
claude-opus-4-6,lighting,85,0.8470588235294118
claude-opus-4-6,material_color,90,0.8222222222222222
claude-opus-4-6,none,81,0.9259259259259259
claude-sonnet-4-6-thinking,ambient_noise,89,0.7752808988764045
claude-sonnet-4-6-thinking,emotional_pressure,80,0.825
claude-sonnet-4-6-thinking,lighting,85,0.8352941176470589
claude-sonnet-4-6-thinking,material_color,90,0.7444444444444445
claude-sonnet-4-6-thinking,none,85,0.7411764705882353
deepseek-v4-pro,ambient_noise,12,0.5833333333333334
deepseek-v4-pro,emotional_pressure,12,0.5833333333333334
deepseek-v4-pro,lighting,13,0.5384615384615384
deepseek-v4-pro,material_color,17,0.7647058823529411
deepseek-v4-pro,none,17,0.6470588235294118
gemini-3-flash-preview,ambient_noise,89,0.8426966292134831
gemini-3-flash-preview,emotional_pressure,85,0.8705882352941177
gemini-3-flash-preview,lighting,85,0.8
gemini-3-flash-preview,material_color,94,0.8404255319148937
gemini-3-flash-preview,none,91,0.8351648351648352
gpt-4o,ambient_noise,115,0.8608695652173913
gpt-4o,emotional_pressure,120,0.8166666666666667
gpt-4o,lighting,125,0.776
gpt-4o,material_color,120,0.8583333333333333
gpt-4o,none,120,0.8833333333333333
gpt-4o-mini,ambient_noise,115,0.8695652173913043
gpt-4o-mini,emotional_pressure,120,0.8916666666666667
gpt-4o-mini,lighting,125,0.832
gpt-4o-mini,material_color,120,0.6666666666666666
gpt-4o-mini,none,120,0.8333333333333334
gpt-5.5,ambient_noise,90,0.8111111111111111
gpt-5.5,emotional_pressure,85,0.6941176470588235
gpt-5.5,lighting,85,0.7294117647058823
gpt-5.5,material_color,95,0.8631578947368421
gpt-5.5,none,85,0.6470588235294118
grok-4,ambient_noise,81,0.5802469135802469
grok-4,emotional_pressure,77,0.5974025974025974
grok-4,lighting,77,0.6753246753246753
grok-4,material_color,84,0.6428571428571429
grok-4,none,85,0.5882352941176471
