model,strategy,groups_n,self_consistency
Kimi-K2-Thinking,baseline,10,0.7
Kimi-K2-Thinking,constraint_boundary_solver,10,0.8
Kimi-K2-Thinking,dimensionless_ratio_design,11,0.8181818181818182
Kimi-K2-Thinking,halton_space_filling,8,0.5
Kimi-K2-Thinking,real_world_archetype_matrix,10,1.0
claude-opus-4-6,baseline,85,0.8470588235294118
claude-opus-4-6,constraint_boundary_solver,86,0.872093023255814
claude-opus-4-6,dimensionless_ratio_design,85,0.8352941176470589
claude-opus-4-6,halton_space_filling,85,0.8235294117647058
claude-opus-4-6,real_world_archetype_matrix,85,0.8705882352941177
claude-sonnet-4-6-thinking,baseline,86,0.8372093023255814
claude-sonnet-4-6-thinking,constraint_boundary_solver,86,0.7093023255813954
claude-sonnet-4-6-thinking,dimensionless_ratio_design,86,0.813953488372093
claude-sonnet-4-6-thinking,halton_space_filling,85,0.8352941176470589
claude-sonnet-4-6-thinking,real_world_archetype_matrix,86,0.7209302325581395
deepseek-v4-pro,baseline,12,0.6666666666666666
deepseek-v4-pro,constraint_boundary_solver,17,0.7058823529411765
deepseek-v4-pro,dimensionless_ratio_design,17,0.5882352941176471
deepseek-v4-pro,halton_space_filling,13,0.7692307692307693
deepseek-v4-pro,real_world_archetype_matrix,12,0.4166666666666667
gemini-3-flash-preview,baseline,89,0.8202247191011236
gemini-3-flash-preview,constraint_boundary_solver,89,0.8202247191011236
gemini-3-flash-preview,dimensionless_ratio_design,88,0.8068181818181818
gemini-3-flash-preview,halton_space_filling,89,0.9101123595505618
gemini-3-flash-preview,real_world_archetype_matrix,89,0.8314606741573034
gpt-4o,baseline,120,0.825
gpt-4o,constraint_boundary_solver,120,0.875
gpt-4o,dimensionless_ratio_design,120,0.8583333333333333
gpt-4o,halton_space_filling,120,0.7333333333333333
gpt-4o,real_world_archetype_matrix,120,0.9
gpt-4o-mini,baseline,120,0.825
gpt-4o-mini,constraint_boundary_solver,120,0.8166666666666667
gpt-4o-mini,dimensionless_ratio_design,120,0.8416666666666667
gpt-4o-mini,halton_space_filling,120,0.75
gpt-4o-mini,real_world_archetype_matrix,120,0.8583333333333333
gpt-5.5,baseline,88,0.8409090909090909
gpt-5.5,constraint_boundary_solver,88,0.6818181818181818
gpt-5.5,dimensionless_ratio_design,88,0.7727272727272727
gpt-5.5,halton_space_filling,88,0.75
gpt-5.5,real_world_archetype_matrix,88,0.7159090909090909
grok-4,baseline,78,0.5897435897435898
grok-4,constraint_boundary_solver,84,0.6428571428571429
grok-4,dimensionless_ratio_design,83,0.5662650602409639
grok-4,halton_space_filling,77,0.6363636363636364
grok-4,real_world_archetype_matrix,82,0.6463414634146342
