antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
has_formula=1,is_uncertain=0,0.83,0.8372222222222222,0.7083333333333334,0.853413654618474,1.01933946802472,1.0,0.013438888888889,1.1104566210045668,0.11160322952710586,0.7387022016222481,0.09946955055717803,0.8497327065394957
is_uncertain=0,has_formula=1,0.8372222222222222,0.83,0.7083333333333334,0.8460517584605176,1.01933946802472,1.0,0.013438888888889,1.1042672413793109,0.11655490865288189,0.7387022016222481,0.09442210859128028,0.8497327065394957
noise_keyword_present=0,has_formula=1,0.7572222222222222,0.83,0.6788888888888889,0.8965517241379309,1.080182800166182,1.0,0.05039444444444441,1.6433333333333322,0.30575602886815684,0.7474006116207952,0.3914807302231233,0.857245072242995
has_formula=1,noise_keyword_present=0,0.83,0.7572222222222222,0.6788888888888889,0.817938420348059,1.080182800166182,1.0,0.05039444444444441,1.333492647058824,0.43665158371040685,0.7474006116207952,0.25008960326431606,0.857245072242995
noise_keyword_present=0,is_uncertain=0,0.7572222222222222,0.8372222222222222,0.6933333333333334,0.9156272927366105,1.0936490556907092,1.0,0.059370061728395096,1.9292705314009677,0.3527089567564398,0.7694204685573366,0.48166937517371633,0.8718813305089821
is_uncertain=0,noise_keyword_present=0,0.8372222222222222,0.7572222222222222,0.6933333333333334,0.8281353682813537,1.0936490556907092,1.0,0.059370061728395096,1.4126104676104676,0.5260539730462941,0.7694204685573366,0.2920907617996262,0.8718813305089821
has_formula=1 & noise_keyword_present=0,is_uncertain=0,0.6788888888888889,0.8372222222222222,0.6377777777777778,0.9394435351882161,1.1220957951816781,1.0,0.06939691358024691,2.688033033033036,0.3388562024522865,0.7261227071473751,0.6279807622484266,0.8506109514029999
is_uncertain=0 & noise_keyword_present=0,has_formula=1,0.6933333333333334,0.83,0.6377777777777778,0.9198717948717948,1.1082792709298734,1.0,0.062311111111111095,2.121599999999999,0.3185880927132252,0.7202007528230865,0.5286576168929108,0.8441393780249202
has_formula=1 & is_uncertain=0,noise_keyword_present=0,0.7083333333333334,0.7572222222222222,0.6377777777777778,0.9003921568627451,1.189072547581028,1.0,0.10141203703703694,2.437335958005249,0.5451717272274759,0.7704697986577181,0.5897159779243505,0.8713259390329866
noise_keyword_present=0,has_formula=1 & is_uncertain=0,0.7572222222222222,0.7083333333333334,0.6377777777777778,0.8422597212032281,1.1890725475810278,1.0,0.10141203703703694,1.8490310077519372,0.6549545922069218,0.7704697986577181,0.45917618698249635,0.8713259390329866
has_formula=1,is_uncertain=0 & noise_keyword_present=0,0.83,0.6933333333333334,0.6377777777777778,0.7684069611780455,1.1082792709298732,1.0,0.062311111111111095,1.3241618497109826,0.5747079319532687,0.7202007528230865,0.24480530818927881,0.8441393780249202
is_uncertain=0,has_formula=1 & noise_keyword_present=0,0.8372222222222222,0.6788888888888889,0.6377777777777778,0.7617783676177837,1.1220957951816781,1.0,0.06939691358024691,1.3479510987310435,0.6684603584212341,0.7261227071473751,0.2581333247612642,0.8506109514029999
noise_keyword_present=0,noise_keyword_hit=none,0.7572222222222222,0.7572222222222222,0.7572222222222222,1.0,1.3206162876008805,1.0,0.1838367283950617,inf,1.0,1.0,1.0,1.0
noise_keyword_hit=none,noise_keyword_present=0,0.7572222222222222,0.7572222222222222,0.7572222222222222,1.0,1.3206162876008805,1.0,0.1838367283950617,inf,1.0,1.0,1.0,1.0
