antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
error_category=under_specification,is_uncertain=1,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
is_uncertain=1,error_category=under_specification,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
error_category=under_specification & is_correct=0,is_uncertain=1,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
is_correct=0 & is_uncertain=1,error_category=under_specification,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
is_uncertain=1,ai_judgment=uncertain,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
ai_judgment=uncertain,is_uncertain=1,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
error_category=under_specification,ai_judgment=uncertain,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
ai_judgment=uncertain,error_category=under_specification,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
error_category=under_specification & is_uncertain=1,ai_judgment=uncertain,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
ai_judgment=uncertain & is_uncertain=1,error_category=under_specification,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
ai_judgment=uncertain & error_category=under_specification,is_uncertain=1,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
error_category=under_specification & is_correct=0,ai_judgment=uncertain,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
ai_judgment=uncertain & is_correct=0,error_category=under_specification,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
is_correct=0 & is_uncertain=1,ai_judgment=uncertain,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
ai_judgment=uncertain & is_correct=0,is_uncertain=1,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
error_category=under_specification & is_correct=0 & is_uncertain=1,ai_judgment=uncertain,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
ai_judgment=uncertain & is_correct=0 & is_uncertain=1,error_category=under_specification,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
ai_judgment=uncertain & error_category=under_specification & is_correct=0,is_uncertain=1,0.16277777777777777,0.16277777777777777,0.16277777777777777,1.0,6.143344709897611,1.0,0.13628117283950617,inf,1.0,1.0,1.0,1.0
error_category=under_specification & uses_coordinate=0,is_uncertain=1,0.16111111111111112,0.16277777777777777,0.16111111111111112,1.0,6.143344709897611,1.0,0.1348858024691358,inf,0.9980132450331125,0.9897610921501707,1.0,0.9948805460750854
is_uncertain=1 & uses_coordinate=0,error_category=under_specification,0.16111111111111112,0.16277777777777777,0.16111111111111112,1.0,6.143344709897611,1.0,0.1348858024691358,inf,0.9980132450331125,0.9897610921501707,1.0,0.9948805460750854
error_category=under_specification & is_correct=0 & uses_coordinate=0,is_uncertain=1,0.16111111111111112,0.16277777777777777,0.16111111111111112,1.0,6.143344709897611,1.0,0.1348858024691358,inf,0.9980132450331125,0.9897610921501707,1.0,0.9948805460750854
